Date,Name,Description,New to Fora,Continent,Country ,Region,Partner,Style,Season,< $500 option(s),Magic Content,Instagram In-Feed,Instagram Story,Non-Editable Assets,Video Template,PDF Template,Mailchimp,Notes,Article Title (Fora HQ reference)
8-Oct-25,"October Hotel Spotlight: Design, Heritage & Fresh Debuts",Round-up of our favorite openings to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,
3-Oct-25,Destination Debrief: European Ski Destinations,Comprehensive travel guide to European ski destinations,No,Europe,Multiple,Multiple,Multiple,Destination Debrief,Winter,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to European Ski Destinations
26-Sep-25,Destination Debrief: CDMX & Central Mexico Getaways,Comprehensive travel guide to CDMX & Central Mexico,No,North America,Mexico,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to CDMX & Central Mexico
24-Sep-25,The 10 Coziest Hotel Fireplaces for Fall Getaways,A roundup of the best hotel fireplaces for fall,No,North America,Multiple,Multiple,Multiple,General ,Fall,No,Magic article,,,,,,,,
24-Sep-25,Insider Picks for Hotels under $500 in Boston,Hotels in Boston under $500,No,North America,United States,Massachusetts,Multiple,General ,General,Yes,Magic article,,,,,,,,
19-Sep-25,Destination Debrief: Rwanda,Comprehensive travel guide to Rwanda,No,Africa,Rwanda,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to Rwanda
12-Sep-25,Destination Debrief: Florida Gulf Coast,Comprehensive travel guide to Florida's Gulf Coast,No,North America,United States,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to Florida's Gulf Coast
5-Sep-25,Destination Debrief: Sweden,Comprehensive travel guide to Sweden,No,Europe,Sweden,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to Sweden
3-Sep-25,September Hotel Spotlight: Bold Revivals & Glam Debuts,Round-up of our favorite openings to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,
2-Sep-25,September Sales Kit (see dedicated Monthly Sales Kits tab),Comprehensive sales and marketing packet with assets for 1) Festive Planning 2) Nordics Travel and the Northern Lights 3) Cozy Season Getaways and 4) FIFA World Cup in Mexico and Canada,No,Multiple,Multiple,Multiple,Multiple,Sales Kit,General,Yes,,,,,,,,,
27-Aug-25,Insider Picks for Hotels under $500 in Madrid,Hotels in Madrid under $500,No,Europe,Spain,Madrid,Multiple,General ,General,Yes,Magic article,,,,,,,,
25-Aug-25,10 European Rooftop Bars with Epic Views,A roundup of some of the best rooftops in Europe,No,Europe,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,10 European Rooftop Bars with Epic Views
22-Aug-25,Destination Debrief: US Sports Travel,Comprehensive travel guide to US Sports Travel,No,North America,United States,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to American Football Travel
15-Aug-25,Destination Debrief: Venice as a Gateway,Comprehensive travel guide to Venice,No,Europe,Italy,Venice,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to Venice as a Gateway
14-Aug-25,The Most Scenic Road Trips in the US,A roundup of the best road trips in the US,No,North America,United States,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed ,,,,,Mailchimp template,,
8-Aug-25,Destination Debrief: College Tours,Comprehensive travel guide to college tours,No,North America,United States,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to College Tours
7-Aug-25,The 5 Best Croissants in Paris (And Where to Stay Nearby),A roundup of some of Paris' best bakeries,No,Europe,France,Paris,Multiple,General ,General,No,Magic article,,,,,,,,Where to Find the Five Best Croissants in Paris & Nearby Hotels
5-Aug-25,Where to Drink Like a Local: Insider Tips for Europe’s Wine Regions,Insider tips on Europe's wine regions,No,Europe,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,How to Experience Europe’s Wine Regions Like a Local
1-Aug-25,Destination Debrief: Ireland,Comprehensive travel guide to Ireland,No,Europe,Ireland,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to Ireland
30-Jul-25,10 Underrated European Cities You Can't Miss,European cities that fly under the radar,No,Europe,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,10 Underrated European Cities You Should Know About
30-Jul-25,Where to Watch the 2025 NFL International Games,A roundup of the NFL games for the 2025 international season,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,An Insider's Guide to the 2025 NFL International Games and Where to Stay
30-Jul-25,The Best Hidden Gems for Long Weekends in the US,A roundup of US destinations for long weekends,No,North America,United States,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,,In-Feed,,,,,The Best Hidden Gems for Long Weekends in the US
30-Jul-25,The Beach Club Edit: Where to See and Be Seen this Summer,Which beach clubs to go to this summer,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,No,Magic article,Instagram in-feed,,In-Feed,,,,,The Best Beach Clubs to See and Be Seen This Summer
30-Jul-25,July Openings & Offers,Round-up of our favorite openings & offers to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instgram story,,,,Mailchimp template,,What's New in July: Urban Redesigns to Coastal Classics
25-Jul-25,Destination Debrief: Portugal,Comprehensive travel guide to Portugal,No,Europe,Portugal ,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to Portugal
24-Jun-25,Hotels under $500 in Lisbon,Hotels under $500 in Lisbon,No,Europe,Portugal ,Lisbon,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels under $500 in Lisbon
23-Jul-25,Ski Town's You'll Love in the Summer ,Ski Town's You'll Love in the Summer ,No,North America,United States,Multiple ,Multiple,General ,Summer,No ,,Instagram in-feed ,,,,,,,
18-Jul-25,Destination Debrief: Greek Island Hopping,"Comprehensive travel guide to Mykonos, Santorini, Paros & Antiparos",No,Europe,Greece,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to Greece
16-Jul-25,Destination Debrief: Athens & the Athenian Riviera,Comprehensive travel guide to Athens & the Athenian Riviera,No,Europe,Greece,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to Greece
14-Jul-25,Destination Debrief: Greece Week: Cruises,Comprehensive travel guide to cruising throughout Greece,No,Europe,Greece,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to Greece
11-Jul-25,Destination Debrief: Sardinia,Comprehensive travel guide to Sardinia,No,Europe,Italy,Sardinia,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,1. Sample Itinerary 2. Cheat sheet,Mailchimp template,,Insider's Guide to Sardinia
8-Jul-25,Summer Spritzes,Where to drink summer Spritzes,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,No,Magic article,,,,,,,,Insider's Guide to Summer Spritzes and Where to Drink Them
27-Jun-25,Destination Debrief: Dubai,Comprehensive travel guide to Dubai,No,Middle East,Dubai,United Arab Emirates,Multiple,Destination Debrief,General,No,Magic article,"Instagram in-feed
",Instagram story,In-Feed,,1. Sample Itinerary 2. Cheat sheet,Mailchimp template,,Insider's Guide to Dubai
23-Jun-25,Hotels under $500 in Barcelona,Hotels under $500 in Barcelona,No,Europe,Spain,Barcelona,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels under $500 in Barcelona
20-Jun-25,Destination Debrief: Peru,Comprehensive travel guide to Peru,No,South America,Peru,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat sheet,Mailchimp template,,Insider's Guide to Peru
16-Jun-25,June partner roundup,Announcing Fora's latest Fora Reserve inductees,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,,,,,,,,
16-Jun-25,Where to Drink Matcha in Japan: My Top Six Picks,Six spots to enjoy matcha in Japan,No,Asia,Japan,Multiple,Multiple,General ,Summer,Yes,Magic article ,,,,,,,,Where to Drink Matcha in Japan: My Top Six Picks
13-Jun-25,Destination Debrief: South Africa,Comprehensive travel guide to South Africa,No,Africa,South Africa,South Africa,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed,Instagram story,,,Cheat sheet,Mailchimp template,,Insider's Guide to South Africa
11-Jun-25,How I Can Make This Your Best Summer Ever,,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,N/A,Magic article,,,,,,,,How I Can Make This Your Best Summer Ever
9-Jun-25,Where to Go with Teens This Summer,"A roundup of our favorite destinations, and where to stay, where your teens won't be bored.",No,Multiple,Multiple,Multiple,Multiple,General ,Summer,Yes,Magic article,,,,,,,,
6-Jun-25,"Destination Debrief: Cape Cod, Nantucket & Martha's Vineyard","Comprehensive travel guide to Cape Cod, Nantucket & Martha's Vineyard",No,North America,United States,Massachusetts,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed,Instagram story,,,Cheat sheet,Mailchimp template,,"Insider's Guide to Cape Cod, Nantucket & Martha's Vineyard"
3-Jun-25,June openings,Round-up of our favorite openings to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"What's New in June: Mountain Adventure, Beachfront Beats & Chic City Stays"
3-Jun-25,June offers,Round-up of our favorite timely offers to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"June Offers & Experiences: Desert Hideouts, Wellness Escapes & Island Adventures"
30-May-25,Destination Debrief: Tuscany,Comprehensive travel guide to Tuscany,No,Europe,Italy,Tuscany,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed,Instagram story,,,Cheat sheet,Mailchimp template,,Insider's Guide to Tuscany
23-May-25,Destination Debrief: Singapore and Bali,Comprehensive travel guide to Singapore and Bali,No,Asia,Singapore,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat sheet,Mailchimp template,,Insider's Guide to Singapore & Bali
22-May-25,Hotels under $500 in Florence,Hotels under $500 in Florence,No,Europe,Northern Italy,Tuscany,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels under $500 in Florence
19-May-25,Hotels with Instagram-Worthy Pools,Hotels with the best pools,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,No,Magic article,,,,,,,,10 Instagram-Worthy Hotel Pools to Visit in 2025
19-May-25,European Summer Escapes for Every Vibe,,No,Europe,Multiple,Multiple,Multiple,General ,Summer,No,Magic article,,,,,,,,Island Hot List: European Summer Escapes for Every Vibe
19-May-25,May partner roundup,Announcing Fora's latest Fora Reserve inductees,Yes,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
16-May-25,Desrtination Debrief: Hawaii,Comprehensive travel guide to Hawaii,No,North America,United States,Hawaii,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat sheet,Mailchimp template,,"Insider's Guide to Hawai'i
"
15-May-25,Wheelchair Accessible Adventures,Share our favorite wheelchair accessible activities,No,Multiple,Multiple,Multiple,Multiple,General ,General,,,Instagram in-feed,Instagram story,,,,,,
13-May-25,REEL: Perfect Summer,Your camera roll after your advisor planned you the perfect summer,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,-,-,-,-,,Video,N/A,N/A,Be sure to include a trending audio when uploading to your social app!,
13-May-25,REEL: Greek Summer,What your summer afternoon could look like if you had an advisor plan it,No,Europe,Greece,Multiple,Multiple,General ,Summer,-,-,,,,Video,N/A,N/A,Be sure to include a trending audio when uploading to your social app!,
13-May-25,Memorial Day Weekend,Round-up of our favorite hotel picks for a great Memorial Day long weekend,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,Yes,N/A,Intagram In-Feed,Instagram story,,,N/A,N/A,,
13-May-25,July 4th Hotel Round Up,Round-up of our favorite hotel picks for a great July 4th long weekend,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,Yes,N/A,Instagram In-Feed,Instagram Story,,,N/A,N/A,,
9-May-25,Destination Debrief: London,Comprehensive travel guide on London,No,Europe,England,London,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,1. Sample Itinerary 2. Cheat Sheet ,Mailchimp template,,Insider's Guide to London
5-May-25,May Offers,Round-up of our favorite timely offers to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"May Offers & Experiences: Mediterranean Getaways, Luxe Beaches & Skyline Stays"
5-May-25,May Openings,Round-up of our favorite recent hotel openings promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"What's New in May: Sun-Soaked Mediterranean Retreats, Countryside Inns & Urban Showstoppers"
5-May-25,In-Room Washers & Dryers: The Luxe Hotel Perk You Didn’t Know You Needed,A roundup of properties with in-room washing machines.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,In-Room Washers & Dryers: The Luxe Hotel Perk You Didn’t Know You Needed
2-May-25,Destination Debrief: Northern India,Comprehensive travel guide on Northern India,No,Asia,India,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Northern India
25-Apr-25,Destination Debrief: Germany & Austria,Comprehensive travel guide on Germany & Austria,No,Europe,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Germany & Austria
18-Apr-25,Destination Debrief: Alaska,Comprehensive travel guide on Alaska,No,North America,United States,Alaska,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Alaska
16-Apr-25,Hotels under $500 in Tokyo,List of hotels < $500 in Tokyo,No,Asia,Japan,Japan,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels under $500 in Tokyo
14-Apr-25,April partner roundup,Announcing Fora's latest Fora Reserve inductees.,Yes,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,,,,,,,,
11-Apr-25,Destination Debrief: The Amalfi Coast,Comprehensive travel guide on the Amalfi Coast,No,Europe,United States,Amalfi Coast,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to the Amalfi Coast
7-Apr-25,Summer Travel Inspiration,Roundup of trending places to visit this summer,No,Multiple,Multiple,Multiple,Multiple,General ,Summer,Yes,Magic article,,,,,,,,
4-Apr-25,Destination Debrief: Austin,Comprehensive travel guide on Austin,No,North America,United States,Austin,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Austin
31-Mar-25,April Offers,Round-up of our favorite timely offers to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
31-Mar-25,April Openings,Round-up of our favorite recent hotel openings promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
28-Mar-25,Destination Debrief: The Balearic Islands,Comprehensive travel guide on the Balearic Islands,No,Europe,Spain,The Balearic Islands,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to the Balearic Islands
24-Mar-25,Hotels Under $500 in Paris,List of hotels less than $500 in Paris,No,Europe,France,Paris,Multiple,General ,General,Yes,Magic article,,,,,,,,
21-Mar-25,Destination Debrief: The Bahamas,Comprehensive travel guide on the Bahamas,No,Caribbean ,Bahamas,Caribbean,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to the Bahamas
14-Mar-25,Destination Debrief: Paris and Beyond,Comprehensive travel guide on Paris and beyond,No,Europe,France,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Paris and Beyond
13-Mar-25,Accessible Travel Getaways,"Share our favorite unique, accessible destinations",No,Multiple,Multiple,Multiple,Multiple,General ,General,,,Instagram in-feed,Instagram story,,,,,,
10-Mar-25,March partner roundup,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,"Fora's Latest Reserve Partners: Countryside Getaways, Luxe City Stays & Wellness Retreats"
7-Mar-25,Destination Debrief: Vail,Comprehensive travel guide on Vail,No,North America,United States,Colorado,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Vail
4-Mar-25,March Openings,Round-up of our favorite recent hotel openings promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
4-Mar-25,March Offers,Round-up of our favorite timely offers to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
28-Feb-25,Destination Debrief: Cherry Blossom Season,Comprehensive travel guide on Cherry Blossom Season,No,Multiple,Multiple,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Cherry Blossom Season
24-Feb-25,The Best Hotels for a Trip with the Guys,These are the best hotels and destinations for a guys' getaway.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,
21-Feb-25,Destination Debrief: All-Inclusives,Comprehensive travel guide on All-Inclusives,No,Multiple,Multiple,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Spring Break for Groups
19-Feb-25,Hotels Under $500 in Las Vegas,List of hotels less than $500 in Las Vegas,No,North America,United States,Nevada,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels Under $500 in Las Vegas
18-Feb-25,Insider's Guide to Tennis Majors,Where to stay during all the key tennis games this year,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,
18-Feb-25,February Partner Roundup,Announcing Fora's latest Fora Reserve inductees.,No,Multiple,Multiple,Multiple,Fora Reserve,General ,General,Yes,Magic article,,,,,,,,
14-Feb-25,Destination Debrief: Turks and Caicos,Comprehensive travel guide on Turks and Caicos,No,Caribbean ,Turks & Caicos,Turks & Caicos,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Turks and Caicos
3-Feb-25,February Offers,Round-up of our favorite timely offers to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
3-Feb-25,February Openings,Round-up of our favorite recent hotel openings promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,Yes,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
31-Jan-25,Destination Debrief: Romantic Destinations,Comprehensive travel guide on Romantic Destinations,No,North America,United States,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Romantic Destinations
24-Jan-25,Destination Debrief: Bachelorette Trips,Comprehensive travel guide on Bachelorette Trips,No,North America,United States,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Bachelorette Trips
24-Jan-25,Hotels Under $500 in London,List of hotels less than $500 in London,No,Europe,England,London,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels Under $500 in London
22-Jan-25,"Cruise Spotlight:
Viking Cruises",Educate clients as to why they'll love Viking Cruises and what their exclusive Wave Season offers are,No,Multiple,Multiple,Multiple,Multiple,Cruise,General,No,,Instagram in-feed,Instagram story,,,,,,
22-Jan-25,"Cruise Spotlight:
Scenic",Educate clients as to why they'll love Scenic and what their exclusive Wave Season offers are,No,Multiple,Multiple,Multiple,Multiple,Cruise,General,No,,Instagram in-feed,Instagram story,,,,,,
17-Jan-25,Destination Debrief: Canadian Ski Destinations,Comprehensive travel guide on Canadian Ski Destinations,No,North America,Canada,Multiple,Multiple,Destination Debrief,Winter,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Canadian Ski Destinations
13-Jan-25,Cruise Personality Quiz,"Help your clients determine what kind of cruiser they are with this quiz. Upon completion, they'll receive their results and a directive to book their cruise with you.",No,Multiple,Multiple,Multiple,Multiple,Cruise,General,No,,,,,,,,Quiz here!,
10-Jan-25,What is Wave Season?,"Educate clients as to why now is the best time to book cruises, and why they should do so with you",No,Multiple,Multiple,Multiple,Multiple,Cruise,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
10-Jan-25,Insider's Wave Season Deals,Deals for cruise line during Wave Season,No,Multiple,Multiple,Multiple,Multiple,Cruise,General,No,Magic Article,Instagram in-feed,Instagram story,,,,Mailchimp template,,An Insider's Guide to Top Wave Season Deals
10-Jan-25,Destination Debrief: Brazil,Comprehensive travel guide on Brazil,No,South America,Brazil,Brazil,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Brazil
6-Jan-24,January Offers,Round-up of our favorite timely offers to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,
6-Jan-25,January Openings,Round-up of our favorite recent hotel openings promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed,Instagram story,,,,Mailchimp template,,January Openings & Experiences to Start 2025
3-Jan-25,Destination Debrief: Wellness Travel,Comprehensive travel guide on wellness travel,No,Multiple,Multiple,Multiple,Multiple,Destination Debrief,General,Yes,Magic article,Instagram in-feed,Instagram story,,,Cheat Sheet ,Mailchimp template,,Insider's Guide to Wellness Travel
30-Dec-24,Top Cities for Study Abroad,List of cities and hotels in popular study abroad locations,No,Europe,Multiple,Multiple,Multiple,General ,General,Yes,"
Magic article",,,,,,,,Top Places to Stay When Visiting Your Study Abroad Student
26-Dec-24,Hotels under $500 in Miami,List of hotels less than $500 in Miami,No,North America,United States,Florida,Multiple,General ,General,Yes,Magic article,,,,,,,,Insider Picks for Hotels Under $500 in Miami
